﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5OiaAaIMYlCZONyDBxqk4G,First Day Of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",1,6,188800,spotify:user:1299858245,2016-10-25T23:47:40Z
spotify:track:2pwnEzgIzYL4AOw4ousjkB,Let the Games Begin,AJR,Let the Games Begin,1,1,201004,spotify:user:1299858245,2016-11-11T02:54:31Z
spotify:track:2yJVeT8cP1zstJxRP7Nlv8,No Interruption,Hoodie Allen,All American,1,2,215240,spotify:user:1299858245,2016-12-12T01:18:59Z
spotify:track:0xNpOEFrmgaMeMESVdnG9Z,I Exhale,Underworld,"Barbara Barbara, we face a shining future",1,1,490666,spotify:user:1299858245,2017-01-01T12:40:58Z
spotify:track:2KYyhbWmfbW4z8eMhFzme4,Dazzle,Oh Wonder,Oh Wonder,1,10,187107,spotify:user:1299858245,2017-01-30T06:45:42Z
spotify:track:2QOoh5aipNI9tW94OGirkO,"Putin, Putout",Klemen Slakonja,"Putin, Putout",1,1,172153,spotify:user:1299858245,2017-01-30T07:40:13Z
spotify:track:05KfyCEE6otdlT1pp2VIjP,Believer,Imagine Dragons,Believer,1,1,203782,spotify:user:1299858245,2017-02-03T02:23:15Z
spotify:track:2yAYw03jxeuALlaZFUhMN9,Made In Gold,Nova Rockafeller,Made In Gold,1,1,216440,spotify:user:1299858245,2017-03-01T21:08:01Z
spotify:track:0dA2Mk56wEzDgegdC6R17g,Stay,"Zedd, Alessia Cara",Stay,1,1,210090,spotify:user:1299858245,2017-03-09T23:21:14Z
spotify:track:24HPkbkXJsIFC4eyg63zgQ,Wraith Pinned to the Mist and Other Games,of Montreal,The Sunlandic Twins,1,3,255613,spotify:user:1299858245,2017-03-21T02:26:29Z
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),1,4,233712,spotify:user:1299858245,2017-04-26T06:32:42Z
spotify:track:2yqltlQVviRd35IqmuekLW,The Wolf,SIAMES,Bounce into the Music,1,2,186945,spotify:user:1299858245,2017-05-29T18:12:14Z
spotify:track:0HjPEb23QO6cGqYfdQVd3K,La La Lainey,Forever The Sickest Kids,J.A.C.K.,1,9,173733,spotify:user:1299858245,2017-06-10T18:12:29Z
spotify:track:5PwCuqzezD4a7mfxMNwk86,Everything Black,"Unlike Pluto, Mike Taylor",Everything Black (feat. Mike Taylor),1,1,228979,spotify:user:1299858245,2017-06-10T18:42:33Z
